,date,has_setlist,name,tour,venue
1665,11-02-2012,False,Okean Elzy,No Tour Assigned,Stadium Live
1666,11-02-2012,False,Rammstein,Liebe Ist Für Alle Da,Olympijskiy Stadium
1667,11-02-2012,False,The Vice,No Tour Assigned,B2
1668,11-02-2012,True,Deathstars,Made In Germany 1995-2011 Tour,Olympijskiy Stadium
1669,11-02-2012,True,Arkona,No Tour Assigned,P!PL
1670,11-02-2012,False,Martyn,No Tour Assigned,Solyanka club
1671,10-02-2012,True,Rammstein,Made In Germany 1995-2011 Tour,Olympijskiy Stadium
1672,10-02-2012,False,SunSay,No Tour Assigned,16 Tons
1673,10-02-2012,True,Deathstars,Made In Germany 1995-2011 Tour,Olympijskiy Stadium
1674,09-02-2012,False,Debauchery,Russian Tour 2012,Relax Club
1675,09-02-2012,True,Chris Rea,Santo Spirito Tour,Crocus City Hall
1676,07-02-2012,False,William Parker & Hamid Drake,No Tour Assigned,Dom
1677,05-02-2012,True,Aes Dana,No Tour Assigned,16 Tons
1678,05-02-2012,False,Carbon Based Lifeforms,No Tour Assigned,16 Tons
1679,05-02-2012,False,Colour Dreams,No Tour Assigned,Duma Club
1680,08-09-2018,False,One Hidden Frame,No Tour Assigned,Bar uspex
1681,08-09-2018,False,Anacondaz,No Tour Assigned,Luzhniki
1682,08-09-2018,False,The Bohemians,No Tour Assigned,Mumiy Troll Bar
1683,08-09-2018,False,Korpiklaani,Kulkija,GlavClub
1684,08-09-2018,False,Noize MC,No Tour Assigned,Luzhniki Stadium
1685,08-09-2018,True,Anacondaz,No Tour Assigned,Luzhniki Stadium
1686,08-09-2018,True,One Hidden Frame,No Tour Assigned,Bar uspex
1687,07-09-2018,False,Ibibio Sound Machine,No Tour Assigned,16 Tons
1688,05-09-2018,True,Everlast,No Tour Assigned,RED
1689,04-09-2018,False,Kah‐Lo,No Tour Assigned,Tsvetnoy Central Market
1690,04-09-2018,False,Aigel,No Tour Assigned,Tsvetnoy Central Market
1691,02-09-2018,False,Neneh Cherry,No Tour Assigned,Gorky Park
1692,02-09-2018,False,Noize MC,No Tour Assigned,Krasnaya Presnya Park
1693,02-09-2018,True,Zdob și Zdub,No Tour Assigned,GlavClub
1694,02-09-2018,True,Luna,Ostrov svobodi,Gorky Park
1695,02-09-2018,False,On-The-Go,No Tour Assigned,Gorky Park
1696,01-09-2018,True,Mike Shinoda,Post Traumatic European Tour,Stadium Live
1697,01-09-2018,False,Pompeya,No Tour Assigned,Zeleniy Teatr VDNH
1698,01-09-2018,True,Glintshake,No Tour Assigned,Aglomerat
1699,01-09-2018,True,Haski,No Tour Assigned,Stadium Live
1700,16-12-2008,True,Lacuna Coil,No Tour Assigned,Tochka
1701,15-12-2008,True,Bleeding Through,Declaration,XO club
1702,14-12-2008,False,Narkotiki,No Tour Assigned,Gogol'
1703,14-12-2008,True,Motorama,No Tour Assigned,16 Tons
1704,13-12-2008,False,Noize MC,No Tour Assigned,16 Tons
1705,12-12-2008,False,Krisiun,No Tour Assigned,Relax Club
1706,12-12-2008,False,Silence Kit,No Tour Assigned,
1707,11-12-2008,False,Everything Is Made in China,No Tour Assigned,B2
